feature	importance
A9_Score	1.2188116644252907
A5_Score	1.102243828739555
A6_Score	0.9397815381230827
A4_Score	0.7137712071480432
A3_Score	0.7060770237602038
A7_Score	0.6738737953279516
A2_Score	0.6580778174020645
A1_Score	0.5292873276829394
A10_Score	0.4940580630450919
A8_Score	0.4486703006975828
age	0.15065209500126564
relation_Self	0.12296805027060739
contry_of_res_United States	0.09538668181580891
ethnicity_White-European	0.06371538683559214
gender_m	0.04286009136444344
contry_of_res_Malaysia	0.037734727961942584
contry_of_res_India	0.03515061157752225
contry_of_res_Canada	0.02835980153641764
ethnicity_Others	0.026091961185986317
contry_of_res_United Arab Emirates	0.025699076883494924
contry_of_res_Jordan	0.02302079238051163
contry_of_res_United Kingdom	0.02169828861823772
contry_of_res_New Zealand	0.02151801754627373
ethnicity_Latino	0.013228924991034945
relation_Parent	0.012928517563684324
contry_of_res_Sweden	0.012920897154420203
contry_of_res_Italy	0.012510916630670962
contry_of_res_Russia	0.010975179965416568
contry_of_res_France	0.010249950650846584
ethnicity_Black	0.006942135443977496
contry_of_res_Brazil	0.006933714023159287
contry_of_res_Mexico	0.006503839916449852
contry_of_res_Bangladesh	0.005085214101110731
ethnicity_Hispanic	0.005077241422126206
ethnicity_Middle Eastern 	0.00439000458200462
contry_of_res_Netherlands	0.004234100985041425
contry_of_res_Philippines	0.003807118597939337
ethnicity_South Asian	0.003109113629158987
contry_of_res_Nepal	0.002739208854069667
contry_of_res_Saudi Arabia	0.0021648618674704008
contry_of_res_Pakistan	0.002133993671225783
contry_of_res_Ecuador	0.0019240541251575839
contry_of_res_Argentina	0.0019048042917025408
contry_of_res_Austria	0.0015474145308003895
contry_of_res_Czech Republic	0.0014589057961212736
contry_of_res_Hong Kong	0.0013323088181870345
contry_of_res_Belgium	0.0012712017980936383
contry_of_res_Australia	0.0011590451130510453
contry_of_res_Spain	0.0007779842113876449
contry_of_res_Iceland	0.0006009019068608593
ethnicity_others	0.0004090224907600454
contry_of_res_Burundi	0.00020564975323421615
contry_of_res_Bahamas	0.00020249810108050048
contry_of_res_AmericanSamoa	0.00012217167242696244
used_app_before	0.0
contry_of_res_Aruba	0.0
contry_of_res_Armenia	0.0
contry_of_res_Angola	0.0
ethnicity_Turkish	0.0
ethnicity_Pasifika	0.0
jundice	0.0
austim	0.0
contry_of_res_Azerbaijan	0.0
contry_of_res_Lebanon	0.0
contry_of_res_Kazakhstan	0.0
contry_of_res_Japan	0.0
contry_of_res_Ireland	0.0
contry_of_res_Iran	0.0
contry_of_res_Iraq	0.0
contry_of_res_Ethiopia	0.0
contry_of_res_Indonesia	0.0
contry_of_res_Finland	0.0
contry_of_res_Germany	0.0
contry_of_res_Bolivia	0.0
contry_of_res_Chile	0.0
contry_of_res_Costa Rica	0.0
contry_of_res_China	0.0
contry_of_res_Cyprus	0.0
contry_of_res_Egypt	0.0
contry_of_res_Sierra Leone	0.0
contry_of_res_Serbia	0.0
contry_of_res_Portugal	0.0
contry_of_res_Romania	0.0
contry_of_res_Niger	0.0
contry_of_res_Nicaragua	0.0
contry_of_res_Oman	0.0
contry_of_res_South Africa	0.0
contry_of_res_Ukraine	0.0
contry_of_res_Turkey	0.0
contry_of_res_Tonga	0.0
contry_of_res_Sri Lanka	0.0
contry_of_res_Viet Nam	0.0
contry_of_res_Uruguay	0.0
relation_Others	0.0
relation_Relative	0.0
