feature	importance
result	0.8831044054417243
A9_Score	0.07750470044424278
A5_Score	0.06286125273199358
A6_Score	0.04829345859088529
A3_Score	0.035069157913140366
A4_Score	0.02940367192914437
A1_Score	0.020871028233455168
A7_Score	0.013367109299511609
A8_Score	0.012750136228509564
A10_Score	0.012505436696733718
A2_Score	0.008629479382581058
ethnicity_White-European	0.0040774172019581445
age	0.0028336810679414058
contry_of_res_India	0.0020365985509457236
ethnicity_Others	0.0010487944255156828
ethnicity_Latino	0.0009950395516498266
ethnicity_Black	0.000892706243079116
contry_of_res_New Zealand	0.0007127640730156721
contry_of_res_United Kingdom	0.00036045641045244156
contry_of_res_United States	0.0003353867833169993
gender_m	0.00030781386259228134
relation_Parent	0.0001960183002852983
relation_Self	0.00010065885914913645
austim	0.0
ethnicity_Turkish	0.0
ethnicity_others	0.0
jundice	0.0
used_app_before	0.0
ethnicity_Middle Eastern 	0.0
ethnicity_Pasifika	0.0
ethnicity_South Asian	0.0
ethnicity_Hispanic	0.0
contry_of_res_Australia	0.0
contry_of_res_Aruba	0.0
contry_of_res_Armenia	0.0
contry_of_res_Argentina	0.0
contry_of_res_Angola	0.0
contry_of_res_AmericanSamoa	0.0
contry_of_res_Bahamas	0.0
contry_of_res_Austria	0.0
contry_of_res_Canada	0.0
contry_of_res_Chile	0.0
contry_of_res_China	0.0
contry_of_res_Azerbaijan	0.0
contry_of_res_Belgium	0.0
contry_of_res_Bolivia	0.0
contry_of_res_Brazil	0.0
contry_of_res_Bangladesh	0.0
contry_of_res_Egypt	0.0
contry_of_res_Ethiopia	0.0
contry_of_res_France	0.0
contry_of_res_Finland	0.0
contry_of_res_Germany	0.0
contry_of_res_Hong Kong	0.0
contry_of_res_Iceland	0.0
contry_of_res_Indonesia	0.0
contry_of_res_Iran	0.0
contry_of_res_Iraq	0.0
contry_of_res_Ireland	0.0
contry_of_res_Costa Rica	0.0
contry_of_res_Cyprus	0.0
contry_of_res_Czech Republic	0.0
contry_of_res_Ecuador	0.0
contry_of_res_Burundi	0.0
contry_of_res_Lebanon	0.0
contry_of_res_Kazakhstan	0.0
contry_of_res_Jordan	0.0
contry_of_res_Japan	0.0
contry_of_res_Italy	0.0
contry_of_res_Malaysia	0.0
contry_of_res_Nepal	0.0
contry_of_res_Mexico	0.0
contry_of_res_Pakistan	0.0
contry_of_res_Philippines	0.0
contry_of_res_Portugal	0.0
contry_of_res_Romania	0.0
contry_of_res_Netherlands	0.0
contry_of_res_Nicaragua	0.0
contry_of_res_Niger	0.0
contry_of_res_Oman	0.0
contry_of_res_Sierra Leone	0.0
contry_of_res_Serbia	0.0
contry_of_res_Saudi Arabia	0.0
contry_of_res_Russia	0.0
contry_of_res_South Africa	0.0
contry_of_res_Spain	0.0
contry_of_res_Sri Lanka	0.0
contry_of_res_Sweden	0.0
contry_of_res_United Arab Emirates	0.0
contry_of_res_Ukraine	0.0
contry_of_res_Turkey	0.0
contry_of_res_Tonga	0.0
contry_of_res_Viet Nam	0.0
contry_of_res_Uruguay	0.0
relation_Others	0.0
relation_Relative	0.0
