feature	importance
A9_Score	1.6074440380022712
A6_Score	1.3289336393228817
A7_Score	1.317908100673718
A5_Score	1.2837489353846752
A2_Score	1.2757887947835351
A3_Score	1.2352082637768131
A4_Score	1.180094197890402
A8_Score	0.9866612332224751
A10_Score	0.9342986286943161
A1_Score	0.7044573292472859
age	0.20302552559752446
ethnicity_White-European	0.19017889931609755
gender_m	0.13886411116858238
contry_of_res_United States	0.04707031970257854
ethnicity_Others	0.023455352977267502
relation_Self	0.014106756127853153
contry_of_res_United Kingdom	0.01203788471451429
contry_of_res_India	0.007461086757523695
relation_Parent	0.0065191000220615174
ethnicity_Middle Eastern 	0.005769023529597946
contry_of_res_New Zealand	0.0027499097977831456
ethnicity_Latino	0.0007237310652687631
used_app_before	0.0
ethnicity_Turkish	0.0
ethnicity_others	0.0
jundice	0.0
austim	0.0
ethnicity_Black	0.0
ethnicity_Pasifika	0.0
ethnicity_South Asian	0.0
ethnicity_Hispanic	0.0
contry_of_res_Australia	0.0
contry_of_res_Aruba	0.0
contry_of_res_Armenia	0.0
contry_of_res_Argentina	0.0
contry_of_res_Angola	0.0
contry_of_res_AmericanSamoa	0.0
contry_of_res_Bahamas	0.0
contry_of_res_Austria	0.0
contry_of_res_Canada	0.0
contry_of_res_Chile	0.0
contry_of_res_China	0.0
contry_of_res_Azerbaijan	0.0
contry_of_res_Belgium	0.0
contry_of_res_Bolivia	0.0
contry_of_res_Brazil	0.0
contry_of_res_Bangladesh	0.0
contry_of_res_Egypt	0.0
contry_of_res_Ethiopia	0.0
contry_of_res_France	0.0
contry_of_res_Finland	0.0
contry_of_res_Germany	0.0
contry_of_res_Hong Kong	0.0
contry_of_res_Iceland	0.0
contry_of_res_Indonesia	0.0
contry_of_res_Iran	0.0
contry_of_res_Iraq	0.0
contry_of_res_Ireland	0.0
contry_of_res_Costa Rica	0.0
contry_of_res_Cyprus	0.0
contry_of_res_Czech Republic	0.0
contry_of_res_Ecuador	0.0
contry_of_res_Burundi	0.0
contry_of_res_Lebanon	0.0
contry_of_res_Kazakhstan	0.0
contry_of_res_Jordan	0.0
contry_of_res_Japan	0.0
contry_of_res_Italy	0.0
contry_of_res_Malaysia	0.0
contry_of_res_Nepal	0.0
contry_of_res_Mexico	0.0
contry_of_res_Pakistan	0.0
contry_of_res_Philippines	0.0
contry_of_res_Portugal	0.0
contry_of_res_Romania	0.0
contry_of_res_Netherlands	0.0
contry_of_res_Nicaragua	0.0
contry_of_res_Niger	0.0
contry_of_res_Oman	0.0
contry_of_res_Sierra Leone	0.0
contry_of_res_Serbia	0.0
contry_of_res_Saudi Arabia	0.0
contry_of_res_Russia	0.0
contry_of_res_South Africa	0.0
contry_of_res_Spain	0.0
contry_of_res_Sri Lanka	0.0
contry_of_res_Sweden	0.0
contry_of_res_United Arab Emirates	0.0
contry_of_res_Ukraine	0.0
contry_of_res_Turkey	0.0
contry_of_res_Tonga	0.0
contry_of_res_Viet Nam	0.0
contry_of_res_Uruguay	0.0
relation_Others	0.0
relation_Relative	0.0
